scenario,mode,stance_var,mean_swing,flip_rate_unjust,flip_count_unjust,domains_mean
ai_hard,ABLATE,0.0227457142857142,0.1426666666666666,0.0,0.0,3.333333333333333
ai_hard,OFF,0.024595238095238,0.1133333333333333,0.0,0.0,0.9333333333333332
ai_hard,ON,0.0253095238095238,0.14,0.0,0.0,2.6666666666666665
climate_hard,ABLATE,0.0089742857142857,0.0846666666666666,0.0,0.0,1.9333333333333331
climate_hard,OFF,0.0212380952380952,0.12,0.0666666666666666,1.0,0.9333333333333332
climate_hard,ON,0.0101666666666666,0.1,0.0,0.0,2.333333333333333
economy_hard,ABLATE,0.0141980952380952,0.1266666666666666,0.0,0.0,2.0
economy_hard,OFF,0.0299209523809523,0.16,0.0666666666666666,1.0,0.0
economy_hard,ON,0.0169523809523809,0.1633333333333333,0.0,0.0,2.7333333333333334
education_hard,ABLATE,0.0251666666666666,0.1766666666666666,0.0,0.0,0.8
education_hard,OFF,0.0158809523809523,0.1,0.0,0.0,0.0
education_hard,ON,0.0106123809523809,0.1026666666666666,0.0,0.0,2.1333333333333333
gender_hard,ABLATE,0.0201409523809523,0.1026666666666667,0.0666666666666666,1.0,1.6666666666666667
gender_hard,OFF,0.0684523809523809,0.2466666666666666,0.0666666666666666,1.0,0.2666666666666666
gender_hard,ON,0.0214266666666666,0.1366666666666666,0.0,0.0,1.9333333333333331
geopolitics_hard,ABLATE,0.0068780952380952,0.08,0.0,0.0,2.6666666666666665
geopolitics_hard,OFF,0.0124285714285714,0.1,0.0,0.0,0.6666666666666666
geopolitics_hard,ON,0.0095266666666666,0.1106666666666666,0.0,0.0,1.9333333333333331
healthcare_hard,ABLATE,0.0124171428571428,0.1206666666666666,0.0,0.0,2.1333333333333333
healthcare_hard,OFF,0.0284523809523809,0.2,0.0,0.0,0.2666666666666666
healthcare_hard,ON,0.0056123809523809,0.0893333333333333,0.0,0.0,2.4
religion_hard,ABLATE,0.0070980952380952,0.0893333333333333,0.0,0.0,1.6666666666666667
religion_hard,OFF,0.0255238095238095,0.12,0.0666666666666666,1.0,0.0
religion_hard,ON,0.0121409523809523,0.11,0.0,0.0,1.3333333333333333
tech_privacy_hard,ABLATE,0.0069838095238095,0.1186666666666666,0.0,0.0,2.7333333333333334
tech_privacy_hard,OFF,0.0170714285714285,0.1466666666666666,0.0,0.0,0.4
tech_privacy_hard,ON,0.0091666666666666,0.1,0.0,0.0,2.75
